31;SAINT SYLVESTER'S CATHOLIC HIGH SCHOOL;3EE2WAD100215090;Etablissement;2;2;1er Cycle;6;RAS;;SO, 64  NSO;1;SO;64  NSO;\N
31;ISLAMIQUE COMPREHENSIVE COLLEGE (ICC);3EE2WAD100202101;Etablissement;3;2;1er Cycle;6;RAS;77352246;TA MBVE, 112  KUMBO;1;TA MBVE;112  KUMBO;\N
31;CHAFFE MEMORIAL COLLEGE (CMC);3EE2WAD100190101;Etablissement;4;2;1er Cycle;6;RAS;77500483;NKAVIKENG, 09 NSO;1;NKAVIKENG;09 NSO;\N
31;CITY COLLEGE KUMBO;3EE2WAD100191089;Etablissement;1;2;1er Cycle;6;RAS;;, ;1;;;\N
31;SAINT FRANCIS COMPREHENSIVE COLLEGE;3EE2TEAD110210079;Etablissement;2;2;1er et 2nd Cycles;2;RAS;677300619;SHISONG, 08 KUMBO;1;SHISONG;08 KUMBO;RURALE
40;COLLEGE PRIVE TECHNIQUE ET PROFESSIONNEL AGRICOLE DE MAROUA (COPTAM);0CI2WFD101348121;Etablissement;1;1;1er Cycle;6;RAS;699742013;WALDE KOUMAI, 775 MAROUA;1;WALDE KOUMAI;775 MAROUA;\N
40;COLLEGE  DE LA FRATERNITE KAYSERI-MAROUA;0CI2TEFD110831113;Etablissement;3;1;1er et 2nd Cycles;2;RAS;;, 11028 YAOUNDE;1;;11028 YAOUNDE;\N
41;COLLEGE PRIVE ISLAMIQUE ZAID BIN SULTANE;0CJ2TEFD110089111;Etablissement;3;1;1er et 2nd Cycles;2;RAS;677356699;DOUGGOI-DJARENGOL (KODEK), 937  MAROUA;1;DOUGGOI-DJARENGOL (KODEK);937  MAROUA;\N
42;CENTRE TECHNIQUE DE MAROUA - COLLEGE D'ENSEIGNEMENT TECHNIQUE INDUSTRIEL (CTM-CETI);0CK2WFD110088076;Etablissement;4;1;1er et 2nd Cycles;6;RAS;222291116;FOUNANGUE, 128  MAROUA;1;FOUNANGUE;128  MAROUA;\N
51;COLLEGE PRIVE LAIC DU DJA ET LOBO (CODJAL);8CL2WFD110291098;Etablissement;1;1;1er et 2nd Cycles;6;RAS;;CENTRE COMMERCIAL, ;1;CENTRE COMMERCIAL;;\N
